meeting_id,item_id,item_description,item_body,Jan Devereux,Dennis J Carlone,Nadeem A Mazen,E Denise Simmons,Timothy J Toomey,Craig A Kelley,Leland Cheung,Marc C McGovern,David P Maher
1567,2775," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of $3,999,677 from the U.S. Department of Housing and Urban Development (HUD) to the Grant Fund Human Services Salary and Wages account ($265,582), to the Grant Fund Human Services Other Ordinary Maintenance account ($3,728,195), and to the Grant Fund Human Services Travel and Training account ($5,900), to cover the costs related to serving homeless persons in Cambridge.","I am hereby requesting the appropriation of $3,999,677 from the U.S.
Department of Housing and Urban Development (HUD) to the Grant Fund Human
Services Salary and Wages account ($265,582), to the Grant Fund Human Services
Other Ordinary Maintenance account ($3,728,195), and to the Grant Fund Human
Services Travel and Training account ($5,900).

This grant was awarded under the HEARTH Act of 2009. The Continuum of Care
Program funds will be contracted with homeless services providers and cover
the costs related to serving homeless persons in Cambridge. Funds will also be
used to cover grant administrative costs.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1557,2104, City Council opposition to investing funds from the Cambridge Retirement System in any entities that are involved in or support the production or upgrading of nuclear weapons systems.,"WHEREAS:

|

Nations across the globe still maintain over 15,000 nuclear weapons, some of
which are hundreds of times more powerful than those that obliterated
Hiroshima and Nagasaki, and detonation of even a small fraction of these
weapons could create a decade-long nuclear winter that could destroy most of
the Earth’s population; and  
  
---|---  
  
|  
  
WHEREAS:

|

The United States has plans to [invest roughly one trillion dollars over the
coming decades](http://www.ibtimes.co.uk/us-begin-1-trillion-upgrade-nuclear-
weapons-arsenal-1474990) to upgrade its nuclear arsenal, which many experts
believe actually increases the risk of nuclear proliferation, nuclear
terrorism, and accidental nuclear war; and  
  
|  
  
WHEREAS:

|

In a period where federal funds are desperately needed in communities like
Cambridge in order to build affordable housing, improve public transit, and
develop sustainable energy sources, our tax dollars are being diverted to and
wasted on nuclear weapons upgrades that would make us less safe; and  
  
|  
  
WHEREAS:

|

Investing in companies producing nuclear weapons implicitly supports this
misdirection of our tax dollars; and  
  
|  
  
WHEREAS:

|

Socially responsible mutual funds and other investment vehicles are available
that accurately match the current asset mix of the City of Cambridge
Retirement Fund while excluding nuclear weapons producers; and  
  
|  
  
WHEREAS:

|

The City of Cambridge is already [on record in supporting the abolition of
nuclear
weapons](http://www2.cambridgema.gov/cityClerk/policyOrder.cfm?item_id=32512),
opposing the development of new nuclear weapons, and calling on President
Obama to lead the nuclear disarmament effort; now therefore be it  
  
|  
  
ORDERED:

|

That the City Council go on record opposing investing funds from the Cambridge
Retirement System in any entities that are involved in or support the
production or upgrading of nuclear weapons systems; and be it further  
  
|  
  
ORDERED:

|

That the City Manager be and hereby is requested to work with the Cambridge
Peace Commissioner and other appropriate City staff to organize an
informational forum on possibilities for Cambridge individuals and
institutions to divest their pension funds from investments in nuclear weapons
contractors; and be it further  
  
|  
  
ORDERED:

|

That the City Manager be and hereby is requested to work with the Board of the
Cambridge Retirement System and other appropriate City staff to ensure
divestment from all companies involved in production of nuclear weapons
systems, and in entities investing in such companies, and the City Manager is
requested to report back to the City Council about the implementation of said
divestment in a timely manner.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1560,2354," That the City Manager is requested to write a letter to the Department of Public Health indicating the City of Cambridge's non-opposition for Sage Cannabis Inc., application to operate a RMD in the Business B-2 (MMD-3 Zoning) District within the City of Cambridge, Massachusetts.","WHEREAS:

|

In 2012, residents of the City of Cambridge voted overwhelmingly in favor of
legalizing marijuana for medical use in the Commonwealth of Massachusetts; and  
  
---|---  
  
|  
  
WHEREAS:

|

In response to the legalization of medical marijuana, the Cambridge City
Council passed comprehensive zoning regulations in 2013 to ensure that
patients residing in and around the City have access to critical palliative
care treatments; and  
  
|  
  
WHEREAS:

|

Sage Cannabis is a licensed Massachusetts RMD provider and has submitted a
zoning petition to amend the provisions of the Medical Marijuana Overlay
district by creating an additional Medical Marijuana Overlay District; and  
  
|  
  
WHEREAS:

|

The Ordinance Committee of the Cambridge City Council recently voted to
support Sage Cannabis’ proposed Medical Marijuana District overlay, MMD-3; now
therefore be it  
  
|  
  
ORDERED:

|

That the City Manager be and hereby is requested to write a letter to the
Department of Public Health indicating the City of Cambridge's non-opposition
for Sage Cannabis Inc., application to operate a RMD in the Business B-2
(MMD-3 Zoning) District within the City of Cambridge, Massachusetts; and be it
further  
  
|  
  
ORDERED:

|

That the City Manager be and hereby is requested to draft and send the letter
with all deliberate speed.

",Nay,Present,Nay,Yea,Yea,Yea,Yea,Nay,Yea
1845,4276," A communication transmitted from Louis A. DePasquale, City Manager, relative to a request to establish the Richard C. Rossi Housing Assistance Fund (the “Fund”), and that $35,641.46 in donations received be appropriated into this Fund.","I would like to request that the City Council establish the Richard C. Rossi
Housing Assistance Fund (the “Fund”), and that $35,641.46 in donations
received be appropriated into this Fund. The proposed Fund is attached hereto
for the City Council’s review and approval, together with the proposed
Procedures and Guidelines for the Fund.  
  
With the retirement of City Manager Richard Rossi, the Housing Assistance Fund
in his name was established through the Friends of Richard Rossi, and
donations were received for this fund during the fall of 2016.  
  
The purpose of this Fund is to provide limited emergency financial assistance
to residents experiencing difficulty remaining housed Cambridge. Pending
availability, the Fund will be used to assist Cambridge residents primarily in
the following areas:

· First month’s rent (and, where required, last month’s) and security deposit
for households needing these funds in order to lease a new unit (e.g. for an
inclusionary unit) - funds could supplement funds offered through other
sources including the Multi-Service Center;

· Funds for families at risk of foreclosure due to mortgage and/or condo fee
arrearages - there are currently no funds available for this which can be a
significant issue for lower income homeowners as fees and legal costs can
quickly add significantly when an owner falls behind in payments.

· Credit repair - credit can be a big barrier to accessing housing, especially
for lower income applicants with poor credit. Access to funds to address (with
some limit) credit issues to repair credit could help some applicants who are
now denied based on credit; and

· Funds for families at risk of homelessness due to rent arrearages - funds
could supplement funds offered through other and/or be offered to households
who are not eligible for other funds.

I am very pleased to be recommending the creation of this Fund and I
respectfully request that the City Council approve the creation of the Fund in
the form attached hereto. As City Manager and Deputy City Manager, Richard
Rossi was dedicated to the creation and preservation of affordable housing and
improving access to affordable housing in Cambridge. The Richard C. Rossi
Housing Assistance Fund will, in Mr. Rossi’s name, continue this commitment by
helping residents access new housing and assisting in efforts to keep
residents with housing risks suitably housed in Cambridge.

",Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea
1582,3230," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of $8,615 from the Cambridge Public Health Commission, Agenda for Children to the Grant Fund Human Services Other Ordinary Maintenance account, to be used to provide Community Playgroups, Drop-In Playgroups, Provider Groups and support of Family Fun Day.","I am hereby requesting the appropriation of $8,615 from the Cambridge Public
Health Commission, Agenda for Children to the Grant Fund Human Services Other
Ordinary Maintenance account.

The Center for Families will use this grant to provide Community Playgroups,
Drop-In Playgroups, Provider Groups and support of Family Fun Day.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Absent
1023,1902, That the City Council go on record in support of The Bike Transit Act.,"WHEREAS:

|

As city populations within the U.S. continue to increase, so does the need for
innovative forms of transportation systems; and  
  
---|---  
  
|  
  
WHEREAS:

|

Bike sharing programs in the U.S. have proven to be a cost effective and an
environmentally sound form of transportation; and  
  
|  
  
WHEREAS:

|

The City of Cambridge has seen firsthand how the “Sharing Economy” and our
Hubway Bike System can help commuters and visitors to easily and conveniently
travel the city; and  
  
|  
  
WHEREAS:

|

On January 7, 2016 Representative Earl Blumenauer (D-OR) and Representative
Vern Buchanan (R-FL) introduced the Bike share Transit Act in the U.S. House
of Representatives; and  
  
|  
  
WHEREAS:

|

This legislation would make it easier for federal transit and highway programs
to fund bike share systems and related improvements; and  
  
|  
  
WHEREAS:

|

By clarifying that bike share projects are eligible for federal funds, the
Bike share Transit Act will make it easier for communities to create and
improve bike share systems; and  
  
|  
  
RESOLVED:

|

That the City Council go on record in support of The Bike Transit Act; and be
it further  
  
|  
  
RESOLVED:

|

That the City Clerk be and hereby is requested to forward a suitably engrossed
copy of this resolution to The U.S. House of Representatives on behalf of the
entire City Council.

",Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea
1844,4628," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $4,141,665 from the U.S. Department of Housing and Urban Development (HUD) to the Grant Fund Human Services Salary and Wages account ($267,992), to the Other Ordinary Maintenance account ($3,866,510), and to the Travel and Training account ($7,163) to help cover the costs related to serving homeless persons in Cambridge.","I am hereby requesting the appropriation of $4,141,665 from the U.S.
Department of Housing and Urban Development (HUD) to the Grant Fund Human
Services Salary and Wages account ($267,992), to the Grant Fund Human Services
Other Ordinary Maintenance account ($3,866,510), and to the Grant Fund Human
Services Travel and Training account ($7,163).

This grant was awarded under the HEARTH Act of 2009. The Continuum of Care
Program funds will be contracted with homeless services providers and cover
the costs related to serving homeless persons in Cambridge. Funds will also be
used to cover grant administrative costs.

",Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea
1557,2184, That the City of Cambridge goes on record as adopting the attached Complete Streets Policy.,"WHEREAS:

|

The City of Cambridge has for many years been seeking to enhance safety for
all users of our public spaces, including people who drive, walk, bicycle, and
use public transportation; and  
  
---|---  
  
|  
  
WHEREAS:

|

The City of Cambridge has for many years promoted the use of sustainable modes
of transportation, including walking, cycling, and public transportation, and
more recently established a formal Safe Routes to School Program; and  
  
|  
  
WHEREAS:

|

A number of communities across the United States and around the world have
begun to adopt a formal Complete Streets Policy; and  
  
|  
  
WHEREAS:

|

Complete Streets are designed and operated to enable safe access for all
users. Pedestrians, bicyclists, motorists, and public transportation users of
all ages and abilities are able to safely move along and across a complete
street; and  
  
|  
  
WHEREAS:

|

Complete Streets have been a key component to City infrastructure projects and
have been a commitment in the City’s Five-Year Street and Sidewalk
Reconstruction Plan for the last eight years; and  
  
|  
  
WHEREAS:

|

Formalizing the City’s commitment to Complete Streets will reinforce existing
sustainable transportation policies and plans, including the Vehicle Trip
Reduction Ordinance, the Climate Protection Plan, the Pedestrian Plan, the
Bicycle Plan, the Transit Strategic Plan, the Five-Year Street and Sidewalk
Reconstruction Plan, and the City’s Community Health Improvement Plan; and  
  
|  
  
WHEREAS:

|

The key City departments involved in the design, construction and maintenance
of transportation infrastructure are supportive of adopting a formal Complete
Streets Policy, including Community Development, Public Health, Public Works,
and Traffic, Parking, and Transportation; and  
  
|  
  
WHEREAS:

|

MassDOT has created a new Complete Streets Program and anticipates providing
construction funding of up to $400,000 to municipalities; now therefore be it  
  
|  
  
RESOLVED:

|

That the City of Cambridge goes on record as adopting the attached Complete
Streets Policy.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1023,1915, Resolution on the death of Nancy Maguire Hoffman.,"WHEREAS:

|

This City Council is deeply saddened by the loss of Mrs. Nancy Maguire
Hoffman, who, on Tuesday, January 19, 2016 at the age of 88 years, died
peacefully, surrounded by love ones, in Naples, Florida; and  
  
---|---  
  
|  
  
WHEREAS:

|

Born Nancy Ballantine Maguire in Cambridge on November 21, 1927, Mrs. Hoffman
developed a love of learning and an appreciation for family at the knee of her
parents: John MacArthur Maguire, an esteemed lawyer, writer, and Harvard
Professor, and Mary Hume, a college professor and staunch advocate of civil
and human rights; and  
  
|  
  
WHEREAS:

|

Nancy was raised with a strong appreciation for justice, nature, curiosity,
and humanism, which was nurtured during her time at Shady Hill School in
Cambridge, MA and later at Colorado College where she earned a degree in
English; and  
  
|  
  
WHEREAS:

|

Following her graduation, Nancy started work at the Lowell Institute
Cooperative Broadcasting Council, which became public radio and television
station WGBH in Boston, where she rose through the ranks, interviewing
celebrities on-air and becoming one of the first female producers and
directors in television; and  
  
|  
  
WHEREAS:

|

At WGBH, she met a young composer, Theodore B. Hoffman, who she would later
marry, and together, they would go on to have four children: Heather,
Theodore, Jeffrey, and Jennifer; and  
  
|  
  
WHEREAS:

|

Even though the family moved to Tampa, Florida in 1962 after Mr. Hoffman was
hired as Composer-in-Residence and Professor of Humanities at the University
of South Florida, Nancy always considered herself to be a Cantabrigian; and  
  
|  
  
WHEREAS:

|

It was in Tampa, Florida where the Hoffman’s set down their roots and where
Nancy became deeply involved in the Hillsborough County school system, sitting
on advisory panels and counseling countless students about college placement
and application forms; and  
  
|  
  
WHEREAS:

|

Her tenacious versatility later was rewarded with a life-time achievement
award from the county, honoring her 40 years of service; and  
  
|  
  
WHEREAS:

|

Nancy also enjoyed sports, rooting particularly hard for the Red Sox, Celtics,
Patriots and other Boston teams; and  
  
|  
  
WHEREAS:

|

Nancy loved attending concerts, many featuring her husband's music, and adored
cooking, lively conversation, laughter, old movies, soap operas, pets, good
books and visits to the ocean; and  
  
|  
  
WHEREAS:

|

Nancy was a devoted and loving mother who doted on her family, encouraging her
children academically, musically, and professionally; and  
  
|  
  
WHEREAS:

|

Nancy and her husband traveled extensively both domestically and abroad, yet
she was a firm believer in the power of voting and always found time to
volunteer at the polls; and  
  
|  
  
WHEREAS:

|

Nancy was preceded in death by her husband in 2003, and she leaves behind four
loving children and 11 grandchildren: Erica (daughter of Heather Hoffman and
Mark Jaquith); Teddy (son of Ted Hoffman and Mary Ann Murdoch); Erinn, Kyle,
Alexander, Jessica and Amanda (children of Jeff and Suroj Hoffman); and Kevin,
Christopher, Nicholas and Matthew (sons of Jennifer and Mike Connelly); and
her nieces and nephews; now therefore be it  
  
|  
  
RESOLVED:

|

That the City Council go on record extending its deepest sympathy to the
family of Mrs. Nancy Hoffman in their time of grief; and be it further  
  
|  
  
RESOLVED:

|

That the City Clerk be and hereby is requested to forward a suitably engrossed
copy of this resolution to the Hoffman family on behalf of the entire City
Council.

",Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea
1847,4343," Transmitting Communication from Louis A. DePasquale, City Manager, relative to a supplemental appropriation of a grant from the Massachusetts Executive Office of Public Safety and Security's (EOPSS) Traffic Enforcement Grant Program in the amount of $7,000 to the Grant Fund Police Department Salary and Wages account which will fund high-visibility traffic enforcement of motor vehicle laws, including but not limited to impaired driving and occupant protection.","I am hereby requesting a supplemental appropriation of a grant from the
Massachusetts Executive Office of Public Safety and Security's (EOPSS) Traffic
Enforcement Grant Program in the amount of $7,000 to the Grant Fund Police
Department Salary and Wages account.  
  
This will fund high-visibility traffic enforcement of motor vehicle laws,
including but not limited to impaired driving and occupant protection. This
additional appropriation will bring the total award to $28,000.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1585,3030," Transmitting communication from Richard C. Rossi, City Manager, relative to the appropriation of the Children’s Trust Fund grant for the Center for Families program in the amount of $62,925 to the Department of Human Services Salary and Wages account ($62,000) and to the Department of Human Services Other Ordinary Maintenance account ($925), to be used by the Center for Families to support family programs targeting parents of children up to eight years.","I am hereby requesting the appropriation of the Children’s Trust Fund grant
for the Center for Families program in the amount of $62,925 to the Department
of Human Services Salary and Wages account ($62,000) and to the Department of
Human Services Other Ordinary Maintenance account ($925).

The Center for Families has once again been awarded funding from a grant from
the Children’s Trust Fund. This grant will be used by the Center for Families
to support family programs targeting parents of children up to eight years,
which include a variety of family support and parent education programs and
resources. This grant supports a portion of salary and benefit costs of staff
who lead parenting education and support programming across the city. Funds
will also be used for parent participation stipends.

",Yea,Yea,Yea,Absent,Yea,Absent,Yea,Yea,Yea
1848,4427," A communication transmitted from Louis A. DePasquale, City Manager, relative to the requirements of the Massachusetts School Building Authority (MSBA) that the City Council adopt an order for the Statement of Interest Form to be submitted to MSBA no later that April 7, 2017 for the Tobin and Vassal Lane Upper School located at 197 Vassal Lane.","I am hereby recommending that in accordance with the requirements of the
Massachusetts School Building Authority (MSBA), the Cambridge City Council
adopt the attached order for the Statement of Interest Form to be submitted to
the MSBA no later than April 7, 2017 for the Tobin and Vassal Lane Upper
Schools located at 197 Vassal Lane, which describes and explains the
deficiencies and the priority category(s) for which an application may be
submitted to the Massachusetts School Building Authority in the future.

",Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1566,2683," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of I am hereby requesting the appropriation of Department of Housing and Community Development (DHCD) salary reserve funds in the amount of $5,499.11 to the Grant Fund Human Services Other Ordinary Maintenance account to be subcontracted to the Cambridge YWCA and be used to pay one time salary increases to staff at the homeless family shelter.","I am hereby requesting the appropriation of Department of Housing and
Community Development (DHCD) salary reserve funds in the amount of $5,499.11
to the Grant Fund Human Services Other Ordinary Maintenance account.

These salary reserve funds will be subcontracted to the Cambridge YWCA and
will be used to pay one time salary increases to staff at the homeless family
shelter. As per EEOHS, “this contract is to fund the cost of a salary increase
for eligible personnel earning less than $40,000 in annual compensation
through eligible contracts.”

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1556,2093, That the City Manager is requested to confer with appropriate City and Cambridge Public School staff to determine the status of the response action review by principals and leaders as it relates to internet threats of bomb or gun violence and that this issue be referred to a joint School Committee and City Council special meeting.,"WHEREAS:

|

In the past several months there have been five internet-based threats of bomb
or gun violence mentioning various Cambridge Public Schools (CPS); and  
  
---|---  
  
|  
  
WHEREAS:

|

These threats—known as “swatting”—were found to be unsubstantiated, but still
caused mental strain and emotional trauma among the CPS population of
students, staff and families, and is being described by some as akin to
domestic terrorism; and  
  
|  
  
WHEREAS:

|

CPS and other City offices have responded to each threat by evaluating their
source and veracity, and notifying parents and other stakeholders about a
reported danger, but follow-up notices conveying that the threat had passed
often lacked detail and specificity, leaving some people with an unresolved
sense of anxiety; and  
  
|  
  
WHEREAS:

|

In the aftermath of these threats, a group of principals and leaders was to
have been convened to review appropriate response action; and  
  
|  
  
WHEREAS:

|

The status of their review is unclear despite another round of threats; now
therefore be it  
  
|  
  
ORDERED:

|

That the City Manager be and hereby is requested to confer with appropriate
City and CPS staff to determine the status of this response action review and
report back to the City Council on this matter, and further that this issue be
referred to a joint School Committee and City Council special meeting.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1642,4229," A communication transmitted from Louis A. DePasquale, City Manager, relative to an order requesting that each prior City Council authorization to borrow money to pay for capital projects will now use the premium to pay for issuance costs and reduce the amount borrowed for each project in accordance with Chapter 44, Section 20 of the General Laws, as most recently amended by the Municipal Modernization Act.","Please find attached an order requesting that each prior City Council
authorization to borrow money to pay for capital projects will now use the
premium to pay for issuance costs and reduce the amount borrowed for each
project in accordance with Chapter 44, Section 20 of the General Laws, as most
recently amended by the Municipal Modernization Act. Prior to the change in
law, the City deposited the premium into the general fund and after year-end,
it was included in our certified free cash. We then appropriated the amount to
the debt stabilization fund.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1868,4812," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $2,000 donation from the Alexander W. Kemp Foundation received for the Alexander W. Kemp playground at the Cambridge Common to the Grant Fund Public Works Other Ordinary Maintenance account.","I am hereby requesting an appropriation of a $2,000 donation from the
Alexander W. Kemp Foundation received for the Alexander W. Kemp playground at
the Cambridge Common to the Grant Fund Public Works Other Ordinary Maintenance
account. The funding will be used for maintenance and upkeep of the
playground.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
