ReceiptTotalDisplay,Reimbursee,FilingDate,ReceiptTotal,ReportTypeId,EndingDateDisplay,EndingBalanceDisplay,ReportCandidateFirstName,ReceiptItemizedTotalDisplay,BeginningBalanceDisplay,ReportTypeDescription,ExpenditureItemizedTotalDisplay,Category,ReceiptUnitemizedTotalDisplay,InkindTotalDisplay,ReportYear,ExpenditureTotalDisplay,ReportingPeriod,SavingsTotalDisplay,IsAmendment,Ui,PaymentsDisplay,LiabilityTotalDisplay,BeginningDateDisplay,AmendmentReason,FilingDateShortDisplay,ExpenditureUnitemizedTotalDisplay,FullNameReverse,CpfId,FilingId,IsAmended,Id,ReportId,FilingMechanism,FilingDateDisplay
$0.00,,2017-02-16T13:10:58.83,0.0,71,2/15/2017,$45.00,Jefferson R.,$0.00,$45.00,Bank Report,$0.00,D,$0.00,$0.00,2017,$0.00,2/1 - 2/15/2017,$0.00,False,,$0.00,$0.00,2/1/2017,,2/16/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,601492,601492,Bank Reporter 3,2/16/2017
$0.00,,2017-02-02T13:44:54.26,0.0,72,1/31/2017,$45.00,Jefferson R.,$0.00,$50.00,Bank Report,$5.00,D,$0.00,$0.00,2017,$5.00,1/16 - 1/31/2017,$0.00,False,,$0.00,$0.00,1/16/2017,,2/2/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,600541,600541,Bank Reporter 3,2/2/2017
$0.00,,2017-01-17T10:31:30.277,0.0,71,1/15/2017,$50.00,Jefferson R.,$0.00,$50.00,Bank Report,$0.00,D,$0.00,$0.00,2017,$0.00,1/1 - 1/15/2017,$0.00,False,,$0.00,$0.00,1/1/2017,,1/17/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,597580,597580,Bank Reporter 3,1/17/2017
$0.00,,2017-01-03T12:50:17.847,0.0,72,12/31/2016,$50.00,Jefferson R.,$0.00,$55.00,Bank Report,$5.00,D,$0.00,$0.00,2016,$5.00,12/16 - 12/31/2016,$0.00,False,,$0.00,$0.00,12/16/2016,,1/3/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,595708,595708,Bank Reporter 3,1/3/2017
$0.00,,2016-12-16T13:18:47.557,0.0,71,12/15/2016,$55.00,Jefferson R.,$0.00,$55.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,12/1 - 12/15/2016,$0.00,False,,$0.00,$0.00,12/1/2016,,12/16/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,593894,593894,Bank Reporter 3,12/16/2016
$0.00,,2016-12-01T12:59:10.673,0.0,72,11/30/2016,$55.00,Jefferson R.,$0.00,$60.00,Bank Report,$5.00,D,$0.00,$0.00,2016,$5.00,11/16 - 11/30/2016,$0.00,False,,$0.00,$0.00,11/16/2016,,12/1/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,592648,592648,Bank Reporter 3,12/1/2016
$0.00,,2016-11-18T12:50:38.97,0.0,71,11/15/2016,$60.00,Jefferson R.,$0.00,$60.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,11/1 - 11/15/2016,$0.00,False,,$0.00,$0.00,11/1/2016,,11/18/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,591714,591714,Bank Reporter 3,11/18/2016
$0.00,,2016-11-01T11:27:30.79,0.0,72,10/31/2016,$60.00,Jefferson R.,$0.00,$65.00,Bank Report,$5.00,D,$0.00,$0.00,2016,$5.00,10/16 - 10/31/2016,$0.00,False,,$0.00,$0.00,10/16/2016,,11/1/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,589523,589523,Bank Reporter 3,11/1/2016
$0.00,,2016-10-17T09:56:03.887,0.0,71,10/15/2016,$65.00,Jefferson R.,$0.00,$65.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,10/1 - 10/15/2016,$0.00,False,,$0.00,$0.00,10/1/2016,,10/17/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,587263,587263,Bank Reporter 3,10/17/2016
$0.00,,2016-10-03T10:39:40.1,0.0,72,9/30/2016,$65.00,Jefferson R.,$0.00,$70.00,Bank Report,$5.00,D,$0.00,$0.00,2016,$5.00,9/16 - 9/30/2016,$0.00,False,,$0.00,$0.00,9/16/2016,,10/3/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,585925,585925,Bank Reporter 3,10/3/2016
$0.00,,2016-09-16T09:54:16.517,0.0,71,9/15/2016,$70.00,Jefferson R.,$0.00,$70.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,9/1 - 9/15/2016,$0.00,False,,$0.00,$0.00,9/1/2016,,9/16/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,584266,584266,Bank Reporter 3,9/16/2016
$0.00,,2016-09-01T09:01:20.603,0.0,72,8/31/2016,$70.00,Jefferson R.,$0.00,$75.00,Bank Report,$5.00,D,$0.00,$0.00,2016,$5.00,8/16 - 8/31/2016,$0.00,False,,$0.00,$0.00,8/16/2016,,9/1/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,582851,582851,Bank Reporter 3,9/1/2016
$0.00,,2016-08-16T11:39:44.58,0.0,71,8/15/2016,$75.00,Jefferson R.,$0.00,$75.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,8/1 - 8/15/2016,$0.00,False,,$0.00,$0.00,8/1/2016,,8/16/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,580862,580862,Bank Reporter 3,8/16/2016
$0.00,,2016-08-01T10:48:48.87,0.0,72,7/31/2016,$75.00,Jefferson R.,$0.00,$80.00,Bank Report,$5.00,D,$0.00,$0.00,2016,$5.00,7/16 - 7/31/2016,$0.00,False,,$0.00,$0.00,7/16/2016,,8/1/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,579387,579387,Bank Reporter 3,8/1/2016
$0.00,,2016-07-18T09:50:10.67,0.0,71,7/15/2016,$80.00,Jefferson R.,$0.00,$80.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,7/1 - 7/15/2016,$0.00,False,,$0.00,$0.00,7/1/2016,,7/18/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,577991,577991,Bank Reporter 3,7/18/2016
$0.00,,2016-07-01T14:16:03.847,0.0,72,6/30/2016,$80.00,Jefferson R.,$0.00,$85.00,Bank Report,$5.00,D,$0.00,$0.00,2016,$5.00,6/16 - 6/30/2016,$0.00,False,,$0.00,$0.00,6/16/2016,,7/1/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,576809,576809,Bank Reporter 3,7/1/2016
$0.00,,2016-06-28T12:52:21.983,0.0,71,6/15/2016,$85.00,Jefferson R.,$0.00,$85.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,6/1 - 6/15/2016,$0.00,False,,$0.00,$0.00,6/1/2016,,6/28/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,576392,576392,Bank Reporter 3,6/28/2016
$0.00,,2016-06-02T11:03:19.55,0.0,72,5/31/2016,$85.00,Jefferson R.,$0.00,$90.00,Bank Report,$5.00,D,$0.00,$0.00,2016,$5.00,5/16 - 5/30/2016,$0.00,False,,$0.00,$0.00,5/16/2016,,6/2/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,573825,573825,Bank Reporter 3,6/2/2016
$0.00,,2016-05-18T13:40:21.41,0.0,71,5/15/2016,$90.00,Jefferson R.,$0.00,$90.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,5/1 - 5/15/2016,$0.00,False,,$0.00,$0.00,5/1/2016,,5/18/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,572720,572720,Bank Reporter 3,5/18/2016
$0.00,,2016-05-09T15:20:48.853,0.0,72,4/30/2016,$90.00,Jefferson R.,$0.00,$90.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,4/16 - 4/30/2016,$0.00,False,,$0.00,$0.00,4/16/2016,,5/9/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,571728,571728,Bank Reporter 3,5/9/2016
$0.00,,2016-04-20T10:21:50.583,0.0,71,4/15/2016,$90.00,Jefferson R.,$0.00,$90.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,4/1 - 4/15/2016,$0.00,False,,$0.00,$0.00,4/1/2016,,4/20/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,570060,570060,Bank Reporter 3,4/20/2016
$0.00,,2016-04-05T09:53:14.367,0.0,72,3/31/2016,$90.00,Jefferson R.,$0.00,$95.00,Bank Report,$5.00,D,$0.00,$0.00,2016,$5.00,3/16 - 3/31/2016,$0.00,False,,$0.00,$0.00,3/16/2016,,4/5/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,568739,568739,Bank Reporter 3,4/5/2016
$0.00,,2016-03-17T14:28:58.277,0.0,71,3/15/2016,$95.00,Jefferson R.,$0.00,$95.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,3/1 - 3/15/2016,$0.00,False,,$0.00,$0.00,3/1/2016,,3/17/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,567237,567237,Bank Reporter 3,3/17/2016
$0.00,,2016-03-04T10:41:32.02,0.0,72,2/29/2016,$95.00,Jefferson R.,$0.00,$100.00,Bank Report,$5.00,D,$0.00,$0.00,2016,$5.00,2/16 - 2/28-29/2016,$0.00,False,,$0.00,$0.00,2/16/2016,,3/4/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,565895,565895,Bank Reporter 3,3/4/2016
$0.00,,2016-02-19T15:42:10.603,0.0,71,2/15/2016,$100.00,Jefferson R.,$0.00,$100.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,2/1 - 2/15/2016,$0.00,False,,$0.00,$0.00,2/1/2016,,2/19/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,564709,564709,Bank Reporter 3,2/19/2016
$0.00,,2016-02-04T16:32:23.453,0.0,72,1/31/2016,$100.00,Jefferson R.,$0.00,$100.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,1/16 - 1/31/2016,$0.00,False,,$0.00,$0.00,1/16/2016,,2/4/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,563636,563636,Bank Reporter 3,2/4/2016
$0.00,,2016-01-21T10:23:59.54,0.0,71,1/15/2016,$100.00,Jefferson R.,$0.00,$100.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,1/1 - 1/15/2016,$0.00,False,,$0.00,$0.00,1/1/2016,,1/21/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,562277,562277,Bank Reporter 3,1/21/2016
$0.00,,2016-01-06T15:59:47.827,0.0,72,12/31/2015,$100.00,Jefferson R.,$0.00,$100.00,Bank Report,$0.00,D,$0.00,$0.00,2015,$0.00,12/16 - 12/31/2015,$0.00,False,,$0.00,$0.00,12/16/2015,,1/6/2016,$0.00,"Smith, Jefferson R.",15628,60013,False,559263,559263,Bank Reporter 3,1/6/2016
$0.00,,2015-12-17T18:10:31.433,0.0,71,12/15/2015,$100.00,Jefferson R.,$0.00,$100.00,Bank Report,$0.00,D,$0.00,$0.00,2015,$0.00,12/1 - 12/15/2015,$0.00,False,,$0.00,$0.00,12/1/2015,,12/17/2015,$0.00,"Smith, Jefferson R.",15628,60013,False,557271,557271,Bank Reporter 3,12/17/2015
$0.00,,2015-12-07T17:38:36.053,0.0,72,11/30/2015,$100.00,Jefferson R.,$0.00,$100.00,Bank Report,$0.00,D,$0.00,$0.00,2015,$0.00,11/16 - 11/30/2015,$0.00,False,,$0.00,$0.00,11/16/2015,,12/7/2015,$0.00,"Smith, Jefferson R.",15628,60013,False,556202,556202,Bank Reporter 3,12/7/2015
$0.00,,2015-11-19T18:22:24.977,0.0,71,11/15/2015,$100.00,Jefferson R.,$0.00,$100.00,Bank Report,$0.00,D,$0.00,$0.00,2015,$0.00,11/1 - 11/15/2015,$0.00,False,,$0.00,$0.00,11/1/2015,,11/19/2015,$0.00,"Smith, Jefferson R.",15628,60013,False,554569,554569,Bank Reporter 3,11/19/2015
$0.00,,2015-11-02T10:54:39.903,0.0,72,10/31/2015,$100.00,Jefferson R.,$0.00,$100.00,Bank Report,$0.00,D,$0.00,$0.00,2015,$0.00,10/16 - 10/31/2015,$0.00,False,,$0.00,$0.00,10/16/2015,,11/2/2015,$0.00,"Smith, Jefferson R.",15628,60013,False,552022,552022,Bank Reporter 3,11/2/2015
